E(l,N) & nk(l,N) & t(N,l): 
     38174: Number of levels
         1  0.000000         0         0   1.22E+02
         2  5.183000         1         1   5.70E-15
         3  5.240900         1         2   2.25E-12
         4  6.176300         1         3   1.74E-15
         5  6.793100         1         4   2.00E-14
         6  6.859400         1         5   1.11E-14
         7  7.275900         2         7   4.90E-13
         8  7.556500         4        11   4.61E-19
         9  8.284000         5        16   1.27E-19
        10  8.743000         2        18   1.43E-20
        11  8.922001         4        22   1.38E-19
        12  8.922001         4        26   6.08E-20
        13  8.982100         2        28   1.17E-19
        14  9.484000         1        29   2.28E-21
        15  9.488001         5        34   4.52E-20
        16  9.609000         3        37   5.19E-20
        17  9.662001        16        53   2.28E-19
        18 10.290001        17        70   1.52E-19
        19 10.300000        18        88   4.15E-20
        20 10.461000         2        90   2.28E-19
        21 10.480000         2        92   1.83E-20
        22 10.506001        21       113   3.26E-21
        23 10.917001        22       135   5.07E-21
        24 10.938001         3       138   4.61E-21
        25 11.025001         1       139   1.83E-20
        26 11.151001        25       164   4.56E-20
        27 11.218000         3       167   1.14E-20
        28 11.565001        27       194   4.56E-20
        29 11.569000         3       197   2.28E-20
        30 11.616000        29       226   5.70E-21
        31 11.719001        30       256   4.56E-20
        32 11.748000         2       258   4.61E-21
        33 11.846001         1       259   7.02E-21
        34 11.980000        33       292   2.28E-20
        35 12.129001        34       326   2.28E-21
        36 12.222000        35       361   4.56E-21
        37 12.255000        36       397   3.38E-21
        38 12.295001        37       434   0.00E+00
        39 12.471001        38       472   5.92E-21
        40 12.600000        39       511   0.00E+00
        41 12.800000        40       551   1.82E-21
        42 12.835001        41       592   2.85E-20
        43 13.008000        42       634   2.12E-21
        44 13.025001        43       677   1.14E-20
        45  0.000000         0       677  -1.00E+00
        46  6.049400         1       678   6.70E-11
        47  6.129890         1       679   1.84E-11
        48  6.917100         3       682   4.70E-15
        49  7.116850         2       684   8.30E-15
        50  8.871901         5       689   1.25E-13
        51  9.585000         2       691   1.09E-21
        52  9.844501         3       694   7.36E-19
        53 10.356001         2       696   1.76E-20
        54 10.957001         1       697   5.50E-15
        55 11.080001        10       707   3.80E-20
        56 11.096701         2       709   1.63E-18
        57 11.260000        12       721   1.83E-22
        58 11.520000         4       725   6.43E-21
        59 11.600000        14       739   5.70E-22
        60 12.049001         1       740   3.04E-19
        61 12.440001         2       742   5.01E-21
        62 12.530001         4       746   4.11E-18
        63 12.796000         1       747   1.14E-20
        64 12.968600         4       751   3.41E-19
        65 13.020000         1       752   3.04E-21
        66 13.090000         3       755   3.51E-21
        67 13.129001        22       777   4.15E-21
        68 13.259001        23       800   2.17E-20
        69 13.664001        24       824   7.13E-21
        70 13.869000        25       849   5.13E-21
        71 13.980000        26       875   2.28E-20
        72 14.032001        27       902   2.47E-21
        73 14.100000        28       930   6.08E-22
        74  0.000000         0       930  -1.00E+00
        75  0.870730         1       931   1.79E-10
        76  3.055360         1       932   8.00E-14
        77  3.842800         1       933   1.80E-14
        78  4.553800         2       935   1.14E-20
        79  5.084800         5       940   4.75E-21
        80  5.215800         6       946   4.56E-18
        81  5.379200         7       953   1.63E-20
        82  5.697300         8       961   1.34E-19
        83  5.732800         9       970   4.56E-19
        84  5.869101        10       980   6.91E-20
        85  5.939000        11       991   1.43E-20
        86  6.356000        12      1003   3.68E-21
        87  6.862000        13      1016   4.56E-19
        88  6.972000        14      1030   4.56E-19
        89  7.165700        15      1045   3.31E-19
        90  7.202000        16      1061   1.63E-21
        91  7.379200        17      1078   7.13E-19
        92  7.382201        18      1096   4.75E-19
        93  7.559000        19      1115   9.12E-22
        94  7.576000        20      1135   4.56E-18
        95  7.688200        21      1156   3.17E-20
        96  7.757000        22      1178   0.00E+00
        97  7.956000        23      1201   5.07E-21
        98  7.990000        24      1225   1.69E-21
        99  8.070001        25      1250   5.37E-21
       100  8.200001        26      1276   7.60E-21
       101  8.342401        27      1303   4.00E-20
       102  8.402300        28      1331   7.39E-20
       103  8.466001        29      1360   2.14E-19
       104  8.500701        30      1390   6.62E-20
       105  8.687000        31      1421   8.25E-21
       106  8.885000        32      1453   7.60E-20
       107  8.897000        33      1486   4.52E-21
       108  8.967200        34      1520   1.76E-20
       109  9.147000        35      1555   1.14E-19
       110  9.150001        36      1591   0.00E+00
       111  9.180000        37      1628   1.52E-19
       112  9.193901        38      1666   1.29E-19
       113  9.420000        39      1705   3.80E-21
       114  9.492001        40      1745   3.04E-20
       115  9.711901        41      1786   1.98E-20
       116  9.783300        42      1828   3.90E-20
       117  9.858901        43      1871   1.14E-19
       118  9.876500        44      1915   2.73E-20
       119  9.976001        45      1960   5.70E-21
       120 10.045000        46      2006   4.56E-21
       121  0.000000         0      2006  -1.00E+00
       122  1.982070         1      2007   1.94E-12
       123  3.554840         1      2008   1.72E-11
       124  3.633760         2      2010   9.60E-13
       125  3.920440         2      2012   1.84E-14
       126  4.455540         3      2015   4.50E-14
       127  5.097780         3      2018   4.30E-14
       128  5.254800         6      2024   7.00E-15
       129  5.336400         2      2026   1.39E-13
       130  5.377800         2      2028   2.10E-14
       131  5.530241         3      2031   1.70E-14
       132  6.198221         5      2036   2.60E-15
       133  6.351300         3      2039   2.40E-14
       134  6.404400         6      2045   2.10E-14
       135  6.880451         1      2046   1.70E-14
       136  7.116900         5      2051   1.70E-14
       137  7.615900         5      2056   1.83E-19
       138  7.771070         3      2059   9.13E-21
       139  7.864000         1      2060   0.00E+00
       140  7.977000         3      2063   0.00E+00
       141  8.037800         4      2067   1.83E-19
       142  8.125000         2      2069   0.00E+00
       143  8.213000         6      2075   4.56E-19
       144  8.282001         3      2078   5.70E-20
       145  8.410001        24      2102   5.70E-20
       146  8.521001        25      2127   0.00E+00
       147  8.660001        26      2153   0.00E+00
       148  8.817000        27      2180   6.52E-21
       149  8.955001        28      2208   1.06E-20
       150  9.000000        29      2237   0.00E+00
       151  9.030001        30      2267   0.00E+00
       152  9.100000        31      2298   0.00E+00
       153  0.000000         0      2298   2.69E+01
       154  0.096000         1      2299   1.39E-09
       155  1.471700         2      2301   8.80E-13
       156  2.371500         1      2302   2.40E-12
       157  2.779000         1      2303   6.40E-14
       158  3.067400         1      2304   7.00E-13
       159  3.153500         2      2306   7.00E-13
       160  3.231600         7      2313   0.00E+00
       161  3.944900         3      2316   0.00E+00
