iAZ(Z,m): Mass numbers for each Z
    8   80: minZ & maxZ
    8    1   15
    8    2   16
    8    3   17
    8    4   18
    8    5   19
    8    6   20
    9    1   16
    9    2   17
    9    3   18
    9    4   19
    9    5   20
    9    6   21
    9    7   22
   10    1   18
   10    2   19
   10    3   20
   10    4   21
   10    5   22
   10    6   23
   10    7   24
   11    1   20
   11    2   21
   11    3   22
   11    4   23
   11    5   24
   11    6   25
   11    7   26
   11    8   27
   12    1   21
   12    2   22
   12    3   23
   12    4   24
   12    5   25
   12    6   26
   12    7   27
   12    8   28
   13    1   24
   13    2   25
   13    3   26
   13    4   27
   13    5   28
   13    6   29
   13    7   30
   14    1   26
   14    2   27
   14    3   28
   14    4   29
   14    5   30
   14    6   31
   14    7   32
   15    1   28
   15    2   29
   15    3   30
   15    4   31
   15    5   32
   15    6   33
   15    7   35
   16    1   30
   16    2   31
   16    3   32
   16    4   33
   16    5   34
   16    6   35
   16    7   36
   16    8   37
   17    1   31
   17    2   32
   17    3   33
   17    4   34
   17    5   35
   17    6   36
   17    7   37
   17    8   38
   17    9   39
   18    1   34
   18    2   35
   18    3   36
   18    4   37
   18    5   38
   18    6   39
   18    7   40
   18    8   41
   18    9   42
   18   10   45
   19    1   37
   19    2   38
   19    3   39
   19    4   40
   19    5   41
   19    6   42
   19    7   43
   19    8   45
   19    9   47
   20    1   38
   20    2   39
   20    3   40
   20    4   41
   20    5   42
   20    6   43
   20    7   44
   20    8   45
   20    9   46
   20   10   47
   20   11   48
   20   12   49
   20   13   50
   21    1   40
   21    2   41
   21    3   42
   21    4   43
   21    5   44
   21    6   45
   21    7   46
   21    8   47
   21    9   48
   21   10   49
   21   11   50
   21   12   51
   22    1   42
   22    2   44
   22    3   45
   22    4   46
   22    5   47
   22    6   48
   22    7   49
   22    8   50
   22    9   51
   22   10   52
   23    1   45
   23    2   46
   23    3   47
   23    4   48
   23    5   49
   23    6   50
   23    7   51
   23    8   52
   23    9   53
   23   10   54
   24    1   46
   24    2   47
   24    3   48
   24    4   49
   24    5   50
   24    6   51
   24    7   52
   24    8   53
   24    9   54
   24   10   55
   24   11   56
   24   12   57
   25    1   50
   25    2   51
   25    3   52
   25    4   53
   25    5   54
   25    6   55
   25    7   56
   25    8   57
   25    9   58
   26    1   51
   26    2   52
   26    3   53
   26    4   54
   26    5   55
   26    6   56
   26    7   57
   26    8   58
