Index for nucleus (Z,A)
    8   80: minZ & maxZ
    8    1    1
    8    2    2
    8    3    3
    8    4    4
    8    5    5
    8    6    6
    9    1    7
    9    2    8
    9    3    9
    9    4   10
    9    5   11
    9    6   12
    9    7   13
   10    1   14
   10    2   15
   10    3   16
   10    4   17
   10    5   18
   10    6   19
   10    7   20
   11    1   21
   11    2   22
   11    3   23
   11    4   24
   11    5   25
   11    6   26
   11    7   27
   11    8   28
   12    1   29
   12    2   30
   12    3   31
   12    4   32
   12    5   33
   12    6   34
   12    7   35
   12    8   36
   13    1   37
   13    2   38
   13    3   39
   13    4   40
   13    5   41
   13    6   42
   13    7   43
   14    1   44
   14    2   45
   14    3   46
   14    4   47
   14    5   48
   14    6   49
   14    7   50
   15    1   51
   15    2   52
   15    3   53
   15    4   54
   15    5   55
   15    6   56
   15    7    0
   15    8   57
   16    1   58
   16    2   59
   16    3   60
   16    4   61
   16    5   62
   16    6   63
   16    7   64
   16    8   65
   17    1   66
   17    2   67
   17    3   68
   17    4   69
   17    5   70
   17    6   71
   17    7   72
   17    8   73
   17    9   74
   18    1   75
   18    2   76
   18    3   77
   18    4   78
   18    5   79
   18    6   80
   18    7   81
   18    8   82
   18    9   83
   18   10    0
   18   11    0
   18   12   84
   19    1   85
   19    2   86
   19    3   87
   19    4   88
   19    5   89
   19    6   90
   19    7   91
   19    8    0
   19    9   92
   19   10    0
   19   11   93
   20    1   94
   20    2   95
   20    3   96
   20    4   97
   20    5   98
   20    6   99
   20    7  100
   20    8  101
   20    9  102
   20   10  103
   20   11  104
   20   12  105
   20   13  106
   21    1  107
   21    2  108
   21    3  109
   21    4  110
   21    5  111
   21    6  112
   21    7  113
   21    8  114
   21    9  115
   21   10  116
   21   11  117
   21   12  118
   22    1  119
   22    2    0
   22    3  120
   22    4  121
   22    5  122
   22    6  123
   22    7  124
   22    8  125
   22    9  126
   22   10  127
   22   11  128
   23    1  129
   23    2  130
   23    3  131
   23    4  132
   23    5  133
   23    6  134
   23    7  135
   23    8  136
   23    9  137
   23   10  138
   24    1  139
   24    2  140
   24    3  141
   24    4  142
   24    5  143
   24    6  144
   24    7  145
   24    8  146
   24    9  147
   24   10  148
   24   11  149
   24   12  150
   25    1  151
   25    2  152
   25    3  153
   25    4  154
   25    5  155
   25    6  156
   25    7  157
   25    8  158
   25    9  159
   26    1  160
   26    2  161
   26    3  162
   26    4  163
   26    5  164
   26    6  165
   26    7  166
   26    8  167
   26    9  168
   26   10  169
   26   11    0
   26   12  170
   27    1  171
   27    2  172
   27    3  173
   27    4  174
   27    5  175
   27    6  176
   27    7  177
   27    8  178
   27    9  179
   27   10  180
   27   11  181
   27   12  182
   28    1  183
   28    2  184
   28    3  185
   28    4  186
   28    5  187
   28    6  188
   28    7  189
   28    8  190
   28    9  191
   28   10  192
   28   11  193
   28   12  194
   28   13    0
   28   14  195
   29    1  196
   29    2  197
   29    3  198
   29    4  199
   29    5  200
   29    6  201
   29    7  202
   29    8  203
   29    9  204
   29   10  205
   29   11    0
   29   12  206
   29   13    0
   29   14  207
   30    1  208
   30    2  209
   30    3  210
   30    4  211
   30    5  212
   30    6  213
   30    7  214
   30    8  215
   30    9  216
   30   10  217
   30   11  218
   30   12  219
   30   13  220
   30   14    0
   30   15  221
   31    1  222
   31    2  223
   31    3  224
   31    4  225
   31    5  226
   31    6  227
   31    7  228
   31    8  229
   31    9  230
   31   10  231
   31   11  232
   31   12    0
   31   13  233
   31   14  234
   31   15  235
   31   16  236
   31   17  237
   32    1  238
   32    2  239
   32    3  240
   32    4  241
   32    5  242
   32    6  243
   32    7  244
   32    8  245
   32    9  246
   32   10  247
   32   11  248
   32   12  249
   32   13  250
   32   14  251
   32   15  252
   32   16  253
   32   17  254
   32   18  255
   33    1  256
   33    2  257
   33    3  258
   33    4  259
   33    5  260
   33    6  261
   33    7  262
   33    8  263
   33    9  264
   33   10  265
   33   11  266
   33   12  267
   33   13  268
   33   14  269
   33   15    0
   33   16  270
   34    1  271
   34    2  272
   34    3  273
   34    4  274
   34    5  275
   34    6  276
   34    7  277
   34    8  278
   34    9  279
   34   10  280
   34   11  281
   34   12  282
   34   13  283
   34   14  284
   34   15  285
   34   16  286
   35    1  287
   35    2  288
   35    3  289
   35    4  290
   35    5  291
   35    6  292
   35    7  293
   35    8  294
   35    9  295
   35   10  296
   35   11  297
   35   12  298
   35   13  299
   35   14  300
   35   15    0
   35   16  301
   35   17  302
   36    1  303
   36    2  304
   36    3  305
   36    4  306
   36    5  307
   36    6  308
   36    7  309
   36    8  310
   36    9  311
   36   10  312
   36   11  313
   36   12  314
   36   13  315
   36   14  316
   36   15  317
   36   16  318
   36   17  319
   36   18  320
   36   19  321
   36   20  322
   36   21  323
   37    1  324
   37    2  325
   37    3    0
   37    4  326
   37    5  327
   37    6  328
   37    7  329
   37    8  330
   37    9  331
   37   10  332
   37   11  333
   37   12  334
   37   13  335
   37   14  336
   37   15  337
   37   16  338
   37   17  339
   37   18  340
   37   19  341
   37   20  342
   37   21  343
   38    1  344
   38    2  345
   38    3  346
   38    4  347
   38    5  348
   38    6  349
   38    7  350
   38    8  351
   38    9  352
   38   10  353
   38   11  354
   38   12  355
   38   13  356
   38   14  357
   38   15  358
   38   16  359
   38   17  360
   38   18  361
   38   19  362
   38   20  363
   38   21  364
   38   22  365
   38   23  366
   38   24  367
   39    1  368
   39    2  369
   39    3  370
   39    4  371
   39    5  372
   39    6  373
   39    7  374
   39    8  375
   39    9  376
   39   10  377
   39   11  378
   39   12  379
   39   13    0
   39   14  380
   39   15  381
   39   16  382
   39   17    0
   39   18  383
   39   19  384
   39   20  385
   39   21  386
   39   22  387
   40    1  388
   40    2  389
   40    3  390
   40    4  391
   40    5    0
   40    6  392
   40    7  393
   40    8  394
   40    9  395
   40   10  396
   40   11  397
   40   12  398
   40   13  399
   40   14  400
   40   15  401
   40   16  402
   40   17  403
   40   18  404
   40   19  405
   40   20  406
   40   21  407
   40   22  408
   41    1  409
   41    2    0
   41    3  410
   41    4  411
   41    5  412
   41    6  413
   41    7  414
   41    8  415
   41    9  416
   41   10  417
   41   11  418
   41   12  419
   41   13  420
