 Z    A   separation energy [keV]
92  218             8847.36
92  219             6782.61
92  220             8254.
92  221             6510.
92  222             8363.
92  223             6532.
92  224             8195.97
92  225             6407.73
92  226             8119.77
92  227             6378.17
92  228             7868.59
92  229             6085.43
92  230             7667.19
92  231             5878.65
92  232             7267.95
92  233             5762.09
92  234             6844.65
92  235             5297.49
92  236             6545.45
92  237             5125.77
92  238             6154.24
92  239             4806.38
92  240             5930.10
92  241             4589.
92  242             5648.
94  229             6759.88
94  230             8537.37
94  231             6719.51
94  232             7991.22
94  233             6385.05
94  234             7773.52
94  235             6237.23
94  236             7352.28
94  237             5880.73
94  238             6999.88
94  239             5646.19
94  240             6534.20
94  241             5241.52
94  242             6309.72
94  243             5034.20
94  244             6021.27
94  245             4770.80
94  246             4770.80
94  247             4471.
96  234             8640.82
96  235             6885.
96  236             8091.
96  237             6685.
96  238             7952.
96  239             6275.
96  240             7538.
96  241             6093.33
96  242             6969.52
96  243             5692.94
96  244             6801.26
96  245             5520.26
96  246             6457.58
96  247             5155.86
96  248             6213.02
96  249             4713.37
96  250             5832.43
96  251             4412.74
96  252             5663.
98  238             8686.
98  239             7129.
98  240             8182.
98  241             6745.
98  242             8094.
98  243             6464.
98  244             7537.
98  245             6163.69
98  246             7366.46
98  247             6026.43
98  248             6968.18
98  249             5585.46
98  250             6625.15
98  251             5108.49
98  252             6171.95
98  253             4804.29
98  254             6031.56
98  255             4603.
98  256             5841.
