  A  charge distribution
220                 0.38
221                 0.38
222                 0.38
223                 0.38
224                 0.38
225                 0.38
226                 0.38
227                 0.38
228                 0.38
229                 0.38
230                 0.38
231                 0.38
232                 0.38
233                 0.38
234                 0.38
235                 0.40
236                 0.40
237                 0.50
238                 0.50
239                 0.50
240                 0.50
241                 0.50
242                 0.50
243                 0.50
244                 0.47 
245                 0.47 
246                 0.47 
247                 0.47 
248                 0.47 
249                 0.47 
251                 0.47 
252                 0.47 
253                 0.47 
254                 0.47 
255                 0.47 
256                 0.47 
257                 0.47 
258                 0.47 
259                 0.47 
260                 0.47 
