# This is a tab deliminted text file of NADS data
# U232(n,fission)? [endfb7b1]
# l	E (MeV)	E' (MeV)	Legendre coefficient
0.0	1.00002E-11	0.0	0.0
0.0	1.00002E-11	4.9705505E-6	0.0016867672
0.0	1.00002E-11	9.9411011E-6	0.00238544
0.0	1.00002E-11	1.9882202E-5	0.0033734959
0.0	1.00002E-11	3.9764404E-5	0.0047707708
0.0	1.00002E-11	7.9528809E-5	0.0067466829
0.0	1.00002E-11	1.5905762E-4	0.0095406681
0.0	1.00002E-11	3.1811523E-4	0.013490895
0.0	1.00002E-11	6.3623047E-4	0.01907435
0.0	1.00002E-11	0.0012724609	0.026962036
0.0	1.00002E-11	0.0019086914	0.033005495
0.0	1.00002E-11	0.0025449219	0.038092859
0.0	1.00002E-11	0.0038173828	0.046608495
0.0	1.00002E-11	0.0050898437	0.053766322
0.0	1.00002E-11	0.0076347656	0.06572154
0.0	1.00002E-11	0.010179687	0.075740622
0.0	1.00002E-11	0.012724609	0.084515359
0.0	1.00002E-11	0.015269531	0.09240129
0.0	1.00002E-11	0.020359375	0.10627985
0.0	1.00002E-11	0.025449219	0.11836123
0.0	1.00002E-11	0.030539062	0.12915275
0.0	1.00002E-11	0.04071875	0.14797218
0.0	1.00002E-11	0.050898437	0.16415048
0.0	1.00002E-11	0.061078125	0.17841849
0.0	1.00002E-11	0.0814375	0.20282589
0.0	1.00002E-11	0.10179687	0.22325055
0.0	1.00002E-11	0.12215625	0.24076719
0.0	1.00002E-11	0.162875	0.26946041
0.0	1.00002E-11	0.20359375	0.29199692
0.0	1.00002E-11	0.2443125	0.31002534
0.0	1.00002E-11	0.32575	0.33629713
0.0	1.00002E-11	0.4071875	0.35321144
0.0	1.00002E-11	0.488625	0.36348122
0.0	1.00002E-11	0.5700625	0.36881788
0.0	1.00002E-11	0.6515	0.37039451
0.0	1.00002E-11	0.76667002	0.36781124
0.0	1.00002E-11	0.88184003	0.36110133
0.0	1.00002E-11	1.1121801	0.33981973
0.0	1.00002E-11	1.5728601	0.28376564
0.0	1.00002E-11	2.1487083	0.21319218
0.0	1.00002E-11	2.4366323	0.18201679
0.0	1.00002E-11	2.7245564	0.15431148
0.0	1.00002E-11	3.0124804	0.13009073
0.0	1.00002E-11	3.3004045	0.1091696
0.0	1.00002E-11	3.5883286	0.091263715
0.0	1.00002E-11	3.8762526	0.076048732
0.0	1.00002E-11	4.1641767	0.063195246
0.0	1.00002E-11	4.4521007	0.052388532
0.0	1.00002E-11	4.7400248	0.043338906
0.0	1.00002E-11	5.0279489	0.035786313
0.0	1.00002E-11	5.3158729	0.029501407
0.0	1.00002E-11	5.603797	0.024284576
0.0	1.00002E-11	5.891721	0.019963851
0.0	1.00002E-11	6.1796451	0.016392262
0.0	1.00002E-11	6.7554932	0.011016749
0.0	1.00002E-11	7.3313413	0.0073770791
0.0	1.00002E-11	7.9071895	0.0049246071
0.0	1.00002E-11	8.4830376	0.0032787176
0.0	1.00002E-11	9.6347338	0.0014437226
0.0	1.00002E-11	10.78643	6.311584E-4
0.0	1.00002E-11	20.0	7.2996029E-7


0.0	0.0010	0.0	0.0
0.0	0.0010	4.9705505E-6	0.0016867672
0.0	0.0010	9.9411011E-6	0.00238544
0.0	0.0010	1.9882202E-5	0.0033734959
0.0	0.0010	3.9764404E-5	0.0047707708
0.0	0.0010	7.9528809E-5	0.0067466829
0.0	0.0010	1.5905762E-4	0.0095406681
0.0	0.0010	3.1811523E-4	0.013490895
0.0	0.0010	6.3623047E-4	0.01907435
0.0	0.0010	0.0012724609	0.026962036
0.0	0.0010	0.0019086914	0.033005495
0.0	0.0010	0.0025449219	0.038092859
0.0	0.0010	0.0038173828	0.046608495
0.0	0.0010	0.0050898437	0.053766322
0.0	0.0010	0.0076347656	0.06572154
0.0	0.0010	0.010179687	0.075740622
0.0	0.0010	0.012724609	0.084515359
0.0	0.0010	0.015269531	0.09240129
0.0	0.0010	0.020359375	0.10627985
0.0	0.0010	0.025449219	0.11836123
0.0	0.0010	0.030539062	0.12915275
0.0	0.0010	0.04071875	0.14797218
0.0	0.0010	0.050898437	0.16415048
0.0	0.0010	0.061078125	0.17841849
0.0	0.0010	0.0814375	0.20282589
0.0	0.0010	0.10179687	0.22325055
0.0	0.0010	0.12215625	0.24076719
0.0	0.0010	0.162875	0.26946041
0.0	0.0010	0.20359375	0.29199692
0.0	0.0010	0.2443125	0.31002534
0.0	0.0010	0.32575	0.33629713
0.0	0.0010	0.4071875	0.35321144
0.0	0.0010	0.488625	0.36348122
0.0	0.0010	0.5700625	0.36881788
0.0	0.0010	0.6515	0.37039451
0.0	0.0010	0.76667002	0.36781124
0.0	0.0010	0.88184003	0.36110133
0.0	0.0010	1.1121801	0.33981973
0.0	0.0010	1.5728601	0.28376564
0.0	0.0010	2.1487083	0.21319218
0.0	0.0010	2.4366323	0.18201679
0.0	0.0010	2.7245564	0.15431148
0.0	0.0010	3.0124804	0.13009073
0.0	0.0010	3.3004045	0.1091696
0.0	0.0010	3.5883286	0.091263715
0.0	0.0010	3.8762526	0.076048732
0.0	0.0010	4.1641767	0.063195246
0.0	0.0010	4.4521007	0.052388532
0.0	0.0010	4.7400248	0.043338906
0.0	0.0010	5.0279489	0.035786313
0.0	0.0010	5.3158729	0.029501407
0.0	0.0010	5.603797	0.024284576
0.0	0.0010	5.891721	0.019963851
0.0	0.0010	6.1796451	0.016392262
0.0	0.0010	6.7554932	0.011016749
0.0	0.0010	7.3313413	0.0073770791
0.0	0.0010	7.9071895	0.0049246071
0.0	0.0010	8.4830376	0.0032787176
0.0	0.0010	9.6347338	0.0014437226
0.0	0.0010	10.78643	6.311584E-4
0.0	0.0010	20.0	7.2996029E-7


0.0	0.01	0.0	0.0
0.0	0.01	4.9728394E-6	0.0016859838
0.0	0.01	9.9456787E-6	0.0023843321
0.0	0.01	1.9891357E-5	0.0033719291
0.0	0.01	3.9782715E-5	0.0047685551
0.0	0.01	7.956543E-5	0.0067435495
0.0	0.01	1.5913086E-4	0.009536237
0.0	0.01	3.1826172E-4	0.01348463
0.0	0.01	6.3652344E-4	0.019065491
0.0	0.01	0.0012730469	0.026949513
0.0	0.01	0.0019095703	0.032990166
0.0	0.01	0.0025460937	0.038075167
0.0	0.01	0.0038191406	0.046586848
0.0	0.01	0.0050921875	0.053741351
0.0	0.01	0.0076382812	0.065691016
0.0	0.01	0.010184375	0.075705444
0.0	0.01	0.012730469	0.084476106
0.0	0.01	0.015276562	0.092358374
0.0	0.01	0.02036875	0.10623049
0.0	0.01	0.025460937	0.11830626
0.0	0.01	0.030553125	0.12909276
0.0	0.01	0.0407375	0.14790346
0.0	0.01	0.050921875	0.16407424
0.0	0.01	0.06110625	0.17833563
0.0	0.01	0.081475	0.20273168
0.0	0.01	0.10184375	0.22314686
0.0	0.01	0.1222125	0.24065537
0.0	0.01	0.16295	0.26933526
0.0	0.01	0.2036875	0.29186131
0.0	0.01	0.244425	0.30988135
0.0	0.01	0.3259	0.33614094
0.0	0.01	0.407375	0.35304739
0.0	0.01	0.48885	0.3633124
0.0	0.01	0.570325	0.36864659
0.0	0.01	0.6518	0.37022248
0.0	0.01	0.76702305	0.36764041
0.0	0.01	0.8822461	0.36093362
0.0	0.01	1.1126922	0.33966191
0.0	0.01	1.5735844	0.28363385
0.0	0.01	2.1494099	0.21312595
0.0	0.01	2.4373226	0.1819764
0.0	0.01	2.7252354	0.15429164
0.0	0.01	3.0131481	0.13008657
0.0	0.01	3.3010609	0.10917692
0.0	0.01	3.5889736	0.091279033
0.0	0.01	3.8768863	0.076069274
0.0	0.01	4.1647991	0.063218852
0.0	0.01	4.4527118	0.052413566
0.0	0.01	4.7406246	0.04336417
0.0	0.01	5.0285373	0.035810957
0.0	0.01	5.3164501	0.029524857
0.0	0.01	5.6043628	0.02430647
0.0	0.01	5.8922756	0.019983987
0.0	0.01	6.1801883	0.016410556
0.0	0.01	6.7560138	0.011031419
0.0	0.01	7.3318393	0.0073884998
0.0	0.01	7.9076648	0.0049333008
0.0	0.01	8.4834902	0.0032852198
0.0	0.01	9.6351412	0.0014472166
0.0	0.01	10.786792	6.3296254E-4
0.0	0.01	20.0	7.3462494E-7


0.0	0.1	0.0	0.0
0.0	0.1	4.9785614E-6	0.0016840284
0.0	0.1	9.9571228E-6	0.0023815667
0.0	0.1	1.9914246E-5	0.0033680182
0.0	0.1	3.9828491E-5	0.0047630244
0.0	0.1	7.9656982E-5	0.0067357281
0.0	0.1	1.5931396E-4	0.0095251766
0.0	0.1	3.1862793E-4	0.01346899
0.0	0.1	6.3725586E-4	0.019043378
0.0	0.1	0.0012745117	0.026918257
0.0	0.1	0.0019117676	0.032951903
0.0	0.1	0.0025490234	0.038031006
0.0	0.1	0.0038235352	0.046532815
0.0	0.1	0.0050980469	0.05367902
0.0	0.1	0.0076470703	0.065614825
0.0	0.1	0.010196094	0.075617639
0.0	0.1	0.012745117	0.084378129
