Z	A		fissiontype		Energy_input		 Ex        					Avg. ph mult				  Unc				Mean ph energy			   	  Unc				Total ph energy				Unc
94   240     1               0                   5.24152                    6.77256                        0.00822955       0.993305                       0.00162959       673248                       1104.51
94   240     1               0.666667            5.90819                    6.80854                        0.00825139       0.991871                       0.00162471       675475                       1106.45
94   240     1               1.33333             6.57485                    6.84769                        0.00827508       0.996656                       0.00162981       682563                       1116.18
94   240     1               2                   7.24152                    6.89849                        0.00830572       0.996131                       0.00162177       687286                       1118.95
94   240     1               2.66667             7.90819                    6.90413                        0.00830911       0.998526                       0.00162445       689462                       1121.65
94   240     1               3.33333             8.57485                    6.94604                        0.00833429       1.0016                       0.00162426       695879                       1128.48
94   240     1               4                   9.24152                    6.98785                        0.00835934       1.00515                       0.00162499       702575                       1135.83
94   240     1               4.66667             9.90819                    7.01351                        0.00837467       1.00547                       0.00162331       705405                       1138.86
94   240     1               5.33333             10.5749                    7.0618                        0.00840345       1.00543                       0.00161774       710175                       1142.68
94   240     1               6                   11.2415                    7.09369                        0.00842241       1.0054                       0.0016153       713418                       1146.19
