Photon Energy [MeV]    Counts per fission
-0.007    0
0.007    0
0.021    0
0.035    0
0.049    0
0.063    0
0.077    0
0.091    0
0.105    0
0.119    0.03216
0.133    0.119929
0.147    0.105184
0.161    0.116311
0.175    0.111339
0.189    0.109651
0.203    0.114363
0.217    0.128293
0.231    0.08994
0.245    0.101267
0.259    0.105899
0.273    0.079667
0.287    0.096465
0.301    0.098663
0.315    0.092172
0.329    0.089545
0.343    0.099778
0.357    0.110253
0.371    0.101196
0.385    0.091774
0.399    0.086029
0.413    0.081405
0.427    0.078467
0.441    0.078089
0.455    0.075187
0.469    0.084313
0.483    0.086094
0.497    0.076419
0.511    0.071232
0.525    0.073269
0.539    0.074879
0.553    0.069351
0.567    0.065453
0.581    0.074511
0.595    0.087742
0.609    0.084425
0.623    0.070774
0.637    0.062282
0.651    0.060897
0.665    0.058851
0.679    0.058974
0.693    0.058459
0.707    0.056946
0.721    0.055204
0.735    0.051471
0.749    0.049219
0.763    0.048056
0.777    0.049338
0.791    0.052772
0.805    0.054191
0.819    0.052802
0.833    0.053476
0.847    0.053253
0.861    0.048134
0.875    0.045178
0.889    0.041632
0.903    0.040591
0.917    0.041775
0.931    0.040315
0.945    0.04247
0.959    0.039993
0.973    0.038454
0.987    0.038187
1.001    0.036791
1.015    0.032236
1.029    0.031188
1.043    0.032514
1.057    0.031908
1.071    0.032503
1.085    0.032592
1.099    0.033057
1.113    0.033401
1.127    0.033586
1.141    0.031734
1.155    0.030838
1.169    0.030491
1.183    0.029948
1.197    0.029648
1.211    0.029334
1.225    0.0291
1.239    0.02937
1.253    0.029332
1.267    0.029808
1.281    0.031752
1.295    0.031325
1.309    0.030527
1.323    0.028695
1.337    0.027685
1.351    0.027463
1.365    0.0235
1.379    0.022297
1.393    0.022009
1.407    0.022354
1.421    0.022281
1.435    0.021733
1.449    0.021261
1.463    0.020705
1.477    0.020273
1.491    0.019826
1.505    0.019778
1.519    0.019467
1.533    0.018921
1.547    0.018883
1.561    0.018675
1.575    0.018306
1.589    0.017924
1.603    0.017248
1.617    0.016786
1.631    0.016885
1.645    0.01655
1.659    0.01642
1.673    0.016295
1.687    0.015964
1.701    0.015613
1.715    0.015104
1.729    0.015441
1.743    0.01518
1.757    0.01506
1.771    0.014761
1.785    0.014283
1.799    0.014433
1.813    0.013976
1.827    0.013614
1.841    0.013594
1.855    0.013486
1.869    0.01308
1.883    0.012918
1.897    0.012963
1.911    0.012572
1.925    0.012655
1.939    0.01228
1.953    0.012265
1.967    0.012167
1.981    0.012076
1.995    0.012596
2.009    0.010707
2.023    0.012067
2.037    0.010595
2.051    0.011204
2.065    0.010923
2.079    0.010799
2.093    0.011021
2.107    0.010531
2.121    0.010701
2.135    0.010567
2.149    0.01032
2.163    0.010421
2.177    0.010157
2.191    0.010111
2.205    0.01015
2.219    0.01025
2.233    0.009917
2.247    0.00964
2.261    0.009609
2.275    0.009332
2.289    0.009379
2.303    0.009248
2.317    0.009052
2.331    0.009013
2.345    0.008839
2.359    0.00896
2.373    0.00874
2.387    0.008661
2.401    0.008521
2.415    0.008404
2.429    0.007974
2.443    0.008114
2.457    0.007816
2.471    0.00779
2.485    0.007609
2.499    0.007813
2.513    0.007432
2.527    0.007422
2.541    0.007459
2.555    0.007449
2.569    0.007164
2.583    0.007128
2.597    0.006996
2.611    0.006935
2.625    0.006756
2.639    0.00675
2.653    0.006663
2.667    0.006613
2.681    0.006431
2.695    0.006569
2.709    0.006334
2.723    0.006189
2.737    0.006103
2.751    0.006034
2.765    0.005926
2.779    0.00597
2.793    0.005743
2.807    0.005898
2.821    0.005678
2.835    0.005774
2.849    0.00567
2.863    0.0055
2.877    0.005426
2.891    0.005359
2.905    0.005236
2.919    0.005132
2.933    0.005073
2.947    0.005135
2.961    0.004985
2.975    0.004998
2.989    0.004799
3.003    0.004671
3.017    0.004609
3.031    0.004535
3.045    0.004595
3.059    0.00451
3.073    0.004454
3.087    0.00436
3.101    0.004417
3.115    0.004179
3.129    0.004231
3.143    0.00416
3.157    0.004146
3.171    0.004063
3.185    0.00399
3.199    0.003932
3.213    0.003816
3.227    0.003779
3.241    0.00382
3.255    0.003819
3.269    0.003721
3.283    0.003482
3.297    0.003576
3.311    0.003531
3.325    0.00348
3.339    0.003523
3.353    0.003524
3.367    0.003371
3.381    0.003379
3.395    0.00324
3.409    0.003183
3.423    0.003053
3.437    0.003213
3.451    0.003181
3.465    0.003079
3.479    0.003022
3.493    0.002993
3.507    0.002928
3.521    0.002906
3.535    0.00289
3.549    0.002755
3.563    0.002757
3.577    0.00277
3.591    0.002654
3.605    0.002705
3.619    0.002688
3.633    0.0026
3.647    0.002453
3.661    0.002553
3.675    0.002449
3.689    0.002397
3.703    0.002417
3.717    0.002502
3.731    0.002393
3.745    0.002318
3.759    0.002321
3.773    0.002282
3.787    0.002231
3.801    0.002183
3.815    0.002104
3.829    0.002204
3.843    0.001994
3.857    0.002126
3.871    0.001976
3.885    0.001967
3.899    0.002029
3.913    0.001955
3.927    0.001853
3.941    0.001905
3.955    0.001901
3.969    0.00181
3.983    0.001825
3.997    0.001935
4.011    0.001651
4.025    0.001696
4.039    0.001677
4.053    0.001817
4.067    0.00156
4.081    0.001655
4.095    0.001614
4.109    0.001645
4.123    0.001601
4.137    0.001557
4.151    0.00153
4.165    0.001598
4.179    0.001442
4.193    0.001372
4.207    0.001441
4.221    0.001437
4.235    0.001344
4.249    0.001402
4.263    0.001393
4.277    0.001318
4.291    0.001399
4.305    0.001307
4.319    0.001298
4.333    0.001278
4.347    0.001303
4.361    0.001226
4.375    0.001235
4.389    0.001215
4.403    0.001206
4.417    0.001133
4.431    0.001094
4.445    0.001149
4.459    0.00113
4.473    0.001129
4.487    0.001019
4.501    0.001033
4.515    0.001043
4.529    0.001015
4.543    0.000988
4.557    0.00097
4.571    0.000914
4.585    0.000903
4.599    0.000905
4.613    0.000915
4.627    0.000916
4.641    0.000902
4.655    0.000868
4.669    0.000845
4.683    0.000868
4.697    0.000827
4.711    0.000833
4.725    0.000822
4.739    0.000829
4.753    0.000755
4.767    0.000761
4.781    0.000722
4.795    0.00074
4.809    0.000702
4.823    0.000701
4.837    0.000688
4.851    0.000732
4.865    0.000733
4.879    0.000659
4.893    0.00069
4.907    0.000684
4.921    0.000657
4.935    0.000637
4.949    0.000607
4.963    0.000637
4.977    0.000592
4.991    0.00063
5.005    0.000624
5.019    0.000561
5.033    0.000555
5.047    0.000546
5.061    0.000544
5.075    0.000513
5.089    0.00056
5.103    0.000512
5.117    0.000465
5.131    0.000509
5.145    0.000513
5.159    0.0005
5.173    0.000477
5.187    0.000481
5.201    0.000459
5.215    0.000477
5.229    0.000421
5.243    0.000474
5.257    0.000481
5.271    0.00044
5.285    0.00043
5.299    0.000431
5.313    0.000424
5.327    0.000407
5.341    0.000434
5.355    0.000391
5.369    0.000384
5.383    0.000366
5.397    0.000364
5.411    0.000367
5.425    0.000343
5.439    0.000382
5.453    0.000361
5.467    0.000373
5.481    0.000335
5.495    0.000342
5.509    0.000282
5.523    0.000328
5.537    0.00029
5.551    0.00031
5.565    0.000332
5.579    0.000317
5.593    0.000295
5.607    0.000283
5.621    0.000264
5.635    0.000301
5.649    0.000306
5.663    0.000263
5.677    0.000254
5.691    0.000257
5.705    0.000246
5.719    0.000292
5.733    0.000257
5.747    0.000217
5.761    0.000237
