Photon Energy [MeV]    Counts per fission
-0.007    0
0.007    0
0.021    0
0.035    0
0.049    0
0.063    0
0.077    0
0.091    0
0.105    0
0.119    0.032428
0.133    0.121606
0.147    0.105507
0.161    0.118236
0.175    0.113163
0.189    0.109033
0.203    0.114925
0.217    0.128363
0.231    0.09048
0.245    0.100765
0.259    0.106711
0.273    0.079893
0.287    0.096072
0.301    0.09859
0.315    0.091272
0.329    0.090319
0.343    0.100828
0.357    0.110218
0.371    0.101393
0.385    0.092366
0.399    0.085506
0.413    0.080342
0.427    0.07847
0.441    0.077225
0.455    0.075184
0.469    0.084417
0.483    0.086898
0.497    0.076576
0.511    0.071595
0.525    0.072695
0.539    0.073746
0.553    0.068194
0.567    0.065378
0.581    0.074295
0.595    0.088037
0.609    0.08384
0.623    0.070268
0.637    0.060982
0.651    0.059797
0.665    0.058389
0.679    0.059119
0.693    0.058021
0.707    0.056748
0.721    0.054366
0.735    0.050527
0.749    0.048847
0.763    0.04726
0.777    0.048679
0.791    0.0523
0.805    0.053525
0.819    0.052341
0.833    0.052155
0.847    0.052181
0.861    0.046764
0.875    0.045014
0.889    0.040992
0.903    0.040456
0.917    0.040557
0.931    0.039794
0.945    0.041967
0.959    0.039863
0.973    0.038037
0.987    0.037948
1.001    0.037229
1.015    0.031917
1.029    0.0315
1.043    0.031967
1.057    0.031744
1.071    0.032575
1.085    0.031618
1.099    0.032518
1.113    0.03272
1.127    0.03331
1.141    0.031313
1.155    0.030398
1.169    0.030525
1.183    0.029241
1.197    0.028895
1.211    0.028501
1.225    0.028763
1.239    0.028959
1.253    0.029324
1.267    0.029662
1.281    0.031167
1.295    0.0311
1.309    0.030121
1.323    0.028363
1.337    0.027284
1.351    0.02737
1.365    0.023395
1.379    0.021839
1.393    0.022105
1.407    0.021654
1.421    0.02194
1.435    0.021395
1.449    0.020904
1.463    0.020703
1.477    0.020289
1.491    0.019719
1.505    0.019704
1.519    0.019106
1.533    0.018818
1.547    0.018633
1.561    0.018269
1.575    0.017979
1.589    0.017422
1.603    0.017171
1.617    0.016852
1.631    0.016415
1.645    0.016408
1.659    0.016614
1.673    0.016303
1.687    0.015719
1.701    0.015539
1.715    0.015044
1.729    0.014985
1.743    0.015103
1.757    0.014892
1.771    0.014534
1.785    0.014213
1.799    0.014413
1.813    0.014005
1.827    0.013534
1.841    0.013426
1.855    0.01342
1.869    0.013168
1.883    0.012751
1.897    0.012639
1.911    0.012761
1.925    0.012307
1.939    0.0122
1.953    0.012
1.967    0.012058
1.981    0.011636
1.995    0.012573
2.009    0.010511
2.023    0.012099
2.037    0.010229
2.051    0.011181
2.065    0.010687
2.079    0.010961
2.093    0.010962
2.107    0.01066
2.121    0.010502
2.135    0.010553
2.149    0.01024
2.163    0.01055
2.177    0.010321
2.191    0.010153
2.205    0.009935
2.219    0.010319
2.233    0.009905
2.247    0.009398
2.261    0.009269
2.275    0.009415
2.289    0.009083
2.303    0.00913
2.317    0.009157
2.331    0.008999
2.345    0.008787
2.359    0.008883
2.373    0.008598
2.387    0.008677
2.401    0.008428
2.415    0.008102
2.429    0.008038
2.443    0.00804
2.457    0.00786
2.471    0.007803
2.485    0.007703
2.499    0.007637
2.513    0.007308
2.527    0.007335
2.541    0.007149
2.555    0.007298
2.569    0.007065
2.583    0.007034
2.597    0.006881
2.611    0.006856
2.625    0.00672
2.639    0.006543
2.653    0.00652
2.667    0.00645
2.681    0.006312
2.695    0.006142
2.709    0.006105
2.723    0.006189
2.737    0.005924
2.751    0.006039
2.765    0.005789
2.779    0.005772
2.793    0.005783
2.807    0.005694
2.821    0.005654
2.835    0.005589
2.849    0.005594
2.863    0.005612
2.877    0.005491
2.891    0.005398
2.905    0.005195
2.919    0.00516
2.933    0.005031
2.947    0.005029
2.961    0.004865
2.975    0.004833
2.989    0.004711
3.003    0.004688
3.017    0.004644
3.031    0.00458
3.045    0.004489
3.059    0.00445
3.073    0.004427
3.087    0.004387
3.101    0.004351
3.115    0.004308
3.129    0.004133
3.143    0.004152
3.157    0.004048
3.171    0.004036
3.185    0.00393
3.199    0.003889
3.213    0.003824
3.227    0.003816
3.241    0.003708
3.255    0.00371
3.269    0.00356
3.283    0.003521
3.297    0.003514
3.311    0.003563
3.325    0.003478
3.339    0.003475
3.353    0.003305
3.367    0.003304
3.381    0.00329
3.395    0.00316
3.409    0.003153
3.423    0.003147
3.437    0.003073
3.451    0.003005
3.465    0.002936
3.479    0.003062
3.493    0.002917
3.507    0.002882
3.521    0.002921
3.535    0.002741
3.549    0.002793
3.563    0.002729
3.577    0.002743
3.591    0.002658
3.605    0.002638
3.619    0.00254
3.633    0.002478
3.647    0.002516
3.661    0.002476
3.675    0.002434
3.689    0.00239
3.703    0.002388
3.717    0.002317
3.731    0.002295
3.745    0.002264
3.759    0.002223
3.773    0.002226
3.787    0.002145
3.801    0.002167
3.815    0.002143
3.829    0.002212
3.843    0.002088
3.857    0.002082
3.871    0.002005
3.885    0.001973
3.899    0.001969
3.913    0.001976
3.927    0.001907
3.941    0.001932
3.955    0.001803
3.969    0.001871
3.983    0.001705
3.997    0.001869
4.011    0.001608
4.025    0.001719
4.039    0.001682
4.053    0.001768
4.067    0.001549
4.081    0.00167
4.095    0.001592
4.109    0.001607
4.123    0.001532
4.137    0.001572
4.151    0.001517
4.165    0.001504
4.179    0.001463
4.193    0.00139
4.207    0.00145
4.221    0.0014
4.235    0.001395
4.249    0.001365
4.263    0.001333
4.277    0.001284
4.291    0.001267
4.305    0.001278
4.319    0.001247
4.333    0.001254
4.347    0.001247
4.361    0.001198
4.375    0.001156
4.389    0.001126
4.403    0.001145
4.417    0.001164
4.431    0.001078
4.445    0.001093
4.459    0.001024
4.473    0.001062
4.487    0.001082
4.501    0.000989
4.515    0.000969
4.529    0.001004
4.543    0.000985
4.557    0.000936
4.571    0.000981
4.585    0.000897
4.599    0.000882
4.613    0.000863
4.627    0.000889
4.641    0.0009
4.655    0.000864
4.669    0.000883
4.683    0.00084
4.697    0.000857
4.711    0.000826
4.725    0.000781
4.739    0.000804
4.753    0.000785
4.767    0.00077
4.781    0.000781
4.795    0.000742
4.809    0.000758
4.823    0.000755
4.837    0.000726
4.851    0.000714
4.865    0.000691
4.879    0.000685
4.893    0.000657
4.907    0.000682
4.921    0.000647
4.935    0.000606
4.949    0.000645
4.963    0.000609
4.977    0.000593
4.991    0.000598
5.005    0.000599
5.019    0.000557
5.033    0.000562
5.047    0.000596
5.061    0.000565
5.075    0.000543
5.089    0.000532
5.103    0.000477
5.117    0.000533
5.131    0.00051
5.145    0.000506
5.159    0.000487
5.173    0.000464
5.187    0.000499
5.201    0.000458
5.215    0.000437
5.229    0.000466
5.243    0.000438
5.257    0.000445
5.271    0.000412
5.285    0.000473
5.299    0.000398
5.313    0.000398
5.327    0.00042
5.341    0.00042
5.355    0.000353
5.369    0.000374
5.383    0.000411
5.397    0.000351
5.411    0.000354
5.425    0.000396
5.439    0.000363
5.453    0.000288
5.467    0.000336
5.481    0.000362
5.495    0.000335
5.509    0.00034
5.523    0.000318
5.537    0.000334
5.551    0.000301
5.565    0.000286
5.579    0.000293
5.593    0.000277
5.607    0.000287
5.621    0.000279
5.635    0.000283
5.649    0.00028
5.663    0.000257
5.677    0.000273
5.691    0.00024
5.705    0.000276
5.719    0.000241
5.733    0.000223
5.747    0.000237
5.761    0.000218
