Photon Energy [MeV]    Counts per fission
-0.007        0
0.007        0
0.021        0
0.035        0
0.049        0
0.063        0
0.077        0
0.091        0
0.105        0
0.119        0.035485
0.133        0.129988
0.147        0.111221
0.161        0.131572
0.175        0.121346
0.189        0.115892
0.203        0.124268
0.217        0.131789
0.231        0.095963
0.245        0.10852
0.259        0.109863
0.273        0.085212
0.287        0.101217
0.301        0.10252
0.315        0.094943
0.329        0.09747
0.343        0.105796
0.357        0.116113
0.371        0.107334
0.385        0.096016
0.399        0.086579
0.413        0.083174
0.427        0.081689
0.441        0.079149
0.455        0.076573
0.469        0.08854
0.483        0.092649
0.497        0.080885
0.511        0.073747
0.525        0.073763
0.539        0.07444
0.553        0.06993
0.567        0.067515
0.581        0.077427
0.595        0.091188
0.609        0.08681
0.623        0.070826
0.637        0.061663
0.651        0.061462
0.665        0.059197
0.679        0.058971
0.693        0.05807
0.707        0.057469
0.721        0.055215
0.735        0.051472
0.749        0.049582
0.763        0.047762
0.777        0.049072
0.791        0.052234
0.805        0.053656
0.819        0.050499
0.833        0.051009
0.847        0.050428
0.861        0.04445
0.875        0.042938
0.889        0.040634
0.903        0.039789
0.917        0.039816
0.931        0.039337
0.945        0.041184
0.959        0.039247
0.973        0.037872
0.987        0.038008
1.001        0.035933
1.015        0.031667
1.029        0.030894
1.043        0.032056
1.057        0.032121
1.071        0.032606
1.085        0.031865
1.099        0.032014
1.113        0.032604
1.127        0.032998
1.141        0.030875
1.155        0.030103
1.169        0.030092
1.183        0.029095
1.197        0.0288
1.211        0.028406
1.225        0.028124
1.239        0.028892
1.253        0.028546
1.267        0.028791
1.281        0.030341
1.295        0.030269
1.309        0.029348
1.323        0.027796
1.337        0.02659
1.351        0.02643
1.365        0.022689
1.379        0.02139
1.393        0.021861
1.407        0.021511
1.421        0.021354
1.435        0.020829
1.449        0.020538
1.463        0.020244
1.477        0.019512
1.491        0.019656
1.505        0.019298
1.519        0.019424
1.533        0.018478
1.547        0.018215
1.561        0.01779
1.575        0.017417
1.589        0.017149
1.603        0.016798
1.617        0.01624
1.631        0.016071
1.645        0.016045
1.659        0.016081
1.673        0.015602
1.687        0.015342
1.701        0.015233
1.715        0.014617
1.729        0.01476
1.743        0.014511
1.757        0.014603
1.771        0.014185
1.785        0.013815
1.799        0.013673
1.813        0.013462
1.827        0.013373
1.841        0.013323
1.855        0.013149
1.869        0.013009
1.883        0.012683
1.897        0.012421
1.911        0.012394
1.925        0.01209
1.939        0.01183
1.953        0.011886
1.967        0.01147
1.981        0.011671
1.995        0.011989
2.009        0.010347
2.023        0.012024
2.037        0.010109
2.051        0.011006
2.065        0.010829
2.079        0.010709
2.093        0.010634
2.107        0.010417
2.121        0.01039
2.135        0.010162
2.149        0.010092
2.163        0.010059
2.177        0.009802
2.191        0.00989
2.205        0.009591
2.219        0.00982
2.233        0.009519
2.247        0.009265
2.261        0.009026
2.275        0.008883
2.289        0.00883
2.303        0.00883
2.317        0.008776
2.331        0.008701
2.345        0.008534
2.359        0.008529
2.373        0.008398
2.387        0.008065
2.401        0.008089
2.415        0.008168
2.429        0.007935
2.443        0.007853
2.457        0.007669
2.471        0.007678
2.485        0.007435
2.499        0.007454
2.513        0.007286
2.527        0.007084
2.541        0.007047
2.555        0.007138
2.569        0.006847
2.583        0.006747
2.597        0.006603
2.611        0.006563
2.625        0.006497
2.639        0.006534
2.653        0.006253
2.667        0.006245
2.681        0.00606
2.695        0.006165
2.709        0.006031
2.723        0.00601
2.737        0.006066
2.751        0.005732
2.765        0.005628
2.779        0.005671
2.793        0.005649
2.807        0.005627
2.821        0.005542
2.835        0.005402
2.849        0.00545
2.863        0.005293
2.877        0.005408
2.891        0.005137
2.905        0.004988
2.919        0.004982
2.933        0.004872
2.947        0.004885
2.961        0.004788
2.975        0.004634
2.989        0.004518
3.003        0.004557
3.017        0.004531
3.031        0.004224
3.045        0.004393
3.059        0.004252
3.073        0.004182
3.087        0.004173
3.101        0.004135
3.115        0.004048
3.129        0.004078
3.143        0.003994
3.157        0.003987
3.171        0.00375
3.185        0.003725
3.199        0.003746
3.213        0.003624
3.227        0.00361
3.241        0.003557
3.255        0.003553
3.269        0.003448
3.283        0.003422
3.297        0.003323
3.311        0.003291
3.325        0.003236
3.339        0.003222
3.353        0.003167
3.367        0.003173
3.381        0.002992
3.395        0.003049
3.409        0.002941
3.423        0.002982
3.437        0.002925
3.451        0.002819
3.465        0.002798
3.479        0.002905
3.493        0.002732
3.507        0.002767
3.521        0.002677
3.535        0.002824
3.549        0.002537
3.563        0.002579
3.577        0.002659
3.591        0.002528
3.605        0.002462
3.619        0.002459
3.633        0.00239
3.647        0.002406
3.661        0.002311
3.675        0.002265
3.689        0.002249
3.703        0.002249
3.717        0.002147
3.731        0.0021
3.745        0.002086
3.759        0.002081
3.773        0.002111
3.787        0.00207
3.801        0.002027
3.815        0.001895
3.829        0.002017
3.843        0.001938
3.857        0.001922
3.871        0.001909
3.885        0.001785
3.899        0.001902
3.913        0.001749
3.927        0.001691
3.941        0.001802
3.955        0.001648
3.969        0.001742
3.983        0.001691
3.997        0.001758
4.011        0.001509
4.025        0.001636
4.039        0.001542
4.053        0.001638
4.067        0.001466
4.081        0.001572
4.095        0.00152
4.109        0.001472
4.123        0.001446
4.137        0.001457
4.151        0.00135
4.165        0.00138
4.179        0.00138
4.193        0.001363
4.207        0.001301
4.221        0.001343
4.235        0.001263
4.249        0.001151
4.263        0.00126
4.277        0.001258
4.291        0.001172
4.305        0.001206
4.319        0.001175
4.333        0.001111
4.347        0.001148
4.361        0.001136
4.375        0.001039
4.389        0.000999
4.403        0.001087
4.417        0.001078
4.431        0.001017
4.445        0.00099
4.459        0.001008
4.473        0.000986
4.487        0.000985
4.501        0.00093
4.515        0.000957
4.529        0.00087
4.543        0.000842
4.557        0.000857
4.571        0.000827
4.585        0.000858
4.599        0.000826
4.613        0.000806
4.627        0.000848
4.641        0.000831
4.655        0.000806
4.669        0.000788
4.683        0.000715
4.697        0.000751
4.711        0.000746
4.725        0.000713
4.739        0.000746
4.753        0.000702
4.767        0.000694
4.781        0.000685
4.795        0.00067
4.809        0.000669
4.823        0.000636
4.837        0.000642
4.851        0.000604
4.865        0.000632
4.879        0.000616
4.893        0.000578
4.907        0.000615
4.921        0.000584
4.935        0.000563
4.949        0.000562
4.963        0.000567
4.977        0.000542
4.991        0.00052
5.005        0.000541
5.019        0.000488
5.033        0.000512
5.047        0.000488
5.061        0.000485
5.075        0.000488
5.089        0.000483
5.103        0.000467
5.117        0.00043
5.131        0.000457
5.145        0.000435
5.159        0.00045
5.173        0.00045
5.187        0.000403
5.201        0.00045
5.215        0.00038
5.229        0.000413
5.243        0.000392
5.257        0.000408
5.271        0.000434
5.285        0.000403
5.299        0.000352
5.313        0.000367
5.327        0.000372
5.341        0.000329
5.355        0.000329
5.369        0.000384
5.383        0.000324
5.397        0.00035
5.411        0.000283
5.425        0.000316
5.439        0.000334
5.453        0.000341
5.467        0.000299
5.481        0.000302
5.495        0.000325
5.509        0.000279
5.523        0.0003
5.537        0.000292
5.551        0.000267
5.565        0.000259
5.579        0.000263
5.593        0.000251
5.607        0.000271
5.621        0.000247
5.635        0.000247
5.649        0.000271
5.663        0.000245
5.677        0.000223
5.691        0.00024
5.705        0.000237
5.719        0.000221
5.733        0.000212
5.747        0.000211
5.761        0.00022
