Photon Energy [MeV]    Counts per fission
-0.007        0
0.007        0
0.021        0
0.035        0
0.049        0
0.063        0
0.077        0
0.091        0
0.105        0
0.119        0.035474
0.133        0.13048
0.147        0.111871
0.161        0.131549
0.175        0.121258
0.189        0.116464
0.203        0.123671
0.217        0.132192
0.231        0.095964
0.245        0.109626
0.259        0.110659
0.273        0.086174
0.287        0.101705
0.301        0.102251
0.315        0.095695
0.329        0.097812
0.343        0.106894
0.357        0.116208
0.371        0.107193
0.385        0.096744
0.399        0.087694
0.413        0.083941
0.427        0.082289
0.441        0.080443
0.455        0.076931
0.469        0.088734
0.483        0.09236
0.497        0.081185
0.511        0.073599
0.525        0.074192
0.539        0.074727
0.553        0.070017
0.567        0.067878
0.581        0.077442
0.595        0.091601
0.609        0.085941
0.623        0.070739
0.637        0.062062
0.651        0.061442
0.665        0.059158
0.679        0.059717
0.693        0.058651
0.707        0.057183
0.721        0.055488
0.735        0.052494
0.749        0.049573
0.763        0.048261
0.777        0.049342
0.791        0.05308
0.805        0.05331
0.819        0.051069
0.833        0.049991
0.847        0.050578
0.861        0.045135
0.875        0.043169
0.889        0.040522
0.903        0.039995
0.917        0.039935
0.931        0.039279
0.945        0.041861
0.959        0.039667
0.973        0.037628
0.987        0.037859
1.001        0.03618
1.015        0.032176
1.029        0.031206
1.043        0.032038
1.057        0.031966
1.071        0.03226
1.085        0.031602
1.099        0.032567
1.113        0.032409
1.127        0.033058
1.141        0.030864
1.155        0.030275
1.169        0.030074
1.183        0.029418
1.197        0.02881
1.211        0.02851
1.225        0.028422
1.239        0.028794
1.253        0.028945
1.267        0.029173
1.281        0.03065
1.295        0.030265
1.309        0.029237
1.323        0.027794
1.337        0.026665
1.351        0.026188
1.365        0.022941
1.379        0.021702
1.393        0.021804
1.407        0.021529
1.421        0.021796
1.435        0.021069
1.449        0.020844
1.463        0.020441
1.477        0.019587
1.491        0.01936
1.505        0.019557
1.519        0.019188
1.533        0.01831
1.547        0.018258
1.561        0.017806
1.575        0.017955
1.589        0.017132
1.603        0.016757
1.617        0.01648
1.631        0.016003
1.645        0.016199
1.659        0.01604
1.673        0.015801
1.687        0.015637
1.701        0.01519
1.715        0.014796
1.729        0.01479
1.743        0.014564
1.757        0.014769
1.771        0.014344
1.785        0.014042
1.799        0.013872
1.813        0.013683
1.827        0.013556
1.841        0.013408
1.855        0.013014
1.869        0.012941
1.883        0.012438
1.897        0.01245
1.911        0.012548
1.925        0.012126
1.939        0.012004
1.953        0.011928
1.967        0.011839
1.981        0.011551
1.995        0.012319
2.009        0.010297
2.023        0.01191
2.037        0.010299
2.051        0.010948
2.065        0.010627
2.079        0.010546
2.093        0.010503
2.107        0.010335
2.121        0.010118
2.135        0.010408
2.149        0.010033
2.163        0.009806
2.177        0.009958
2.191        0.009714
2.205        0.009836
2.219        0.009874
2.233        0.009664
2.247        0.009182
2.261        0.009114
2.275        0.008867
2.289        0.008832
2.303        0.008884
2.317        0.008979
2.331        0.008581
2.345        0.008568
2.359        0.008775
2.373        0.008387
2.387        0.008293
2.401        0.008206
2.415        0.008092
2.429        0.007946
2.443        0.007835
2.457        0.007643
2.471        0.007502
2.485        0.007414
2.499        0.007552
2.513        0.00727
2.527        0.00729
2.541        0.007078
2.555        0.007012
2.569        0.007001
2.583        0.006841
2.597        0.00667
2.611        0.00659
2.625        0.006513
2.639        0.006446
2.653        0.006484
2.667        0.006308
2.681        0.006087
2.695        0.005969
2.709        0.006128
2.723        0.006062
2.737        0.005822
2.751        0.005875
2.765        0.005869
2.779        0.005789
2.793        0.005794
2.807        0.005668
2.821        0.005555
2.835        0.005464
2.849        0.00558
2.863        0.005302
2.877        0.005348
2.891        0.005229
2.905        0.004904
2.919        0.005018
2.933        0.004884
2.947        0.00478
2.961        0.004883
2.975        0.004756
2.989        0.004639
3.003        0.004472
3.017        0.004344
3.031        0.004379
3.045        0.004349
3.059        0.004213
3.073        0.004206
3.087        0.004113
3.101        0.004166
3.115        0.004011
3.129        0.00402
3.143        0.00392
3.157        0.003883
3.171        0.003765
3.185        0.003904
3.199        0.003625
3.213        0.00363
3.227        0.003665
3.241        0.003662
3.255        0.003493
3.269        0.003469
3.283        0.003418
3.297        0.003384
3.311        0.003382
3.325        0.003261
3.339        0.003267
3.353        0.003219
3.367        0.003064
3.381        0.003112
3.395        0.003052
3.409        0.00296
3.423        0.002978
3.437        0.002998
3.451        0.002897
3.465        0.002875
3.479        0.002877
3.493        0.002847
3.507        0.002777
3.521        0.002797
3.535        0.002655
3.549        0.002665
3.563        0.002716
3.577        0.002514
3.591        0.002569
3.605        0.002454
3.619        0.002446
3.633        0.002406
3.647        0.002391
3.661        0.002365
3.675        0.002329
3.689        0.002248
3.703        0.002307
3.717        0.002229
3.731        0.002296
3.745        0.002126
3.759        0.002121
3.773        0.002124
3.787        0.002104
3.801        0.002017
3.815        0.002028
3.829        0.001931
3.843        0.001954
3.857        0.001924
3.871        0.001923
3.885        0.001891
3.899        0.001834
3.913        0.001763
3.927        0.001824
3.941        0.001774
3.955        0.001771
3.969        0.001745
3.983        0.001706
3.997        0.001808
4.011        0.001557
4.025        0.001609
4.039        0.001676
4.053        0.001766
4.067        0.001524
4.081        0.001543
4.095        0.001459
4.109        0.001573
4.123        0.001487
4.137        0.001374
4.151        0.001418
4.165        0.001425
4.179        0.00143
4.193        0.001326
4.207        0.001313
4.221        0.001258
4.235        0.001353
4.249        0.001301
4.263        0.001269
4.277        0.001232
4.291        0.001229
4.305        0.001221
4.319        0.001197
4.333        0.001159
4.347        0.001132
4.361        0.00117
4.375        0.001093
4.389        0.001124
4.403        0.001114
4.417        0.001031
4.431        0.001018
4.445        0.001043
4.459        0.001029
4.473        0.000993
4.487        0.000913
4.501        0.000971
4.515        0.000953
4.529        0.001003
4.543        0.00093
4.557        0.000914
4.571        0.000893
4.585        0.000884
4.599        0.000807
4.613        0.000836
4.627        0.000789
4.641        0.000818
4.655        0.00079
4.669        0.00077
4.683        0.00077
4.697        0.000775
4.711        0.000782
4.725        0.000748
4.739        0.000733
4.753        0.000709
4.767        0.000716
4.781        0.000702
4.795        0.000691
4.809        0.00068
4.823        0.000689
4.837        0.000665
4.851        0.000648
4.865        0.000643
4.879        0.000627
4.893        0.000606
4.907        0.000596
4.921        0.0006
4.935        0.000561
4.949        0.00054
4.963        0.000534
4.977        0.000568
4.991        0.00053
5.005        0.000581
5.019        0.000548
5.033        0.000568
5.047        0.000487
5.061        0.000459
5.075        0.000481
5.089        0.000476
5.103        0.000478
5.117        0.000449
5.131        0.000471
5.145        0.000427
5.159        0.000424
5.173        0.000447
5.187        0.000445
5.201        0.000438
5.215        0.00042
5.229        0.000407
5.243        0.000402
5.257        0.000372
5.271        0.000397
5.285        0.000378
5.299        0.000395
5.313        0.000347
5.327        0.000368
5.341        0.000349
5.355        0.000312
5.369        0.000338
5.383        0.00036
5.397        0.000313
5.411        0.000332
5.425        0.000329
5.439        0.000324
5.453        0.000359
5.467        0.000285
5.481        0.000301
5.495        0.000321
5.509        0.000312
5.523        0.000268
5.537        0.000283
5.551        0.000265
5.565        0.000261
5.579        0.000275
5.593        0.000299
5.607        0.000285
5.621        0.000284
5.635        0.000259
5.649        0.000246
5.663        0.000228
5.677        0.00025
5.691        0.000234
5.705        0.000216
5.719        0.000225
5.733        0.000224
5.747        0.000217
5.761        0.000221
